x,y,w,h
167,161,188,188
160,162,188,188
163,162,188,188
162,156,198,198
171,162,188,188
162,162,188,188
162,162,188,188
170,156,198,198
162,162,188,188
161,156,198,198
166,150,206,206
165,156,198,198
166,150,206,206
166,156,198,198
166,167,181,181
167,150,206,206
163,167,181,181
168,167,181,181
150,169,181,181
154,166,183,183
575,251,277,277
582,248,272,272
567,236,293,293
572,245,280,280
580,251,266,266
582,247,268,268
579,247,268,268
584,253,264,264
579,249,270,270
564,239,284,284
573,248,268,268
158,165,185,185
580,255,255,255
571,235,293,293
574,250,274,274
576,241,280,280
157,164,188,188
579,247,274,274
585,253,268,268
585,253,268,268
594,260,255,255
158,164,188,188
582,249,272,272
579,249,277,277
576,246,277,277
580,253,268,268
580,253,268,268
146,157,198,198
403,396,301,301
618,230,268,268
652,237,255,255
414,384,305,305
660,238,255,255
658,229,266,266
673,233,255,255
665,232,263,263
656,237,268,268
649,238,264,264
410,374,331,331
642,238,264,264
144,157,198,198
624,242,268,268
632,249,255,255
409,382,306,306
606,243,268,268
158,162,190,190
406,384,302,302
167,165,183,183
582,243,277,277
166,167,181,181
151,171,177,177
576,261,255,255
156,164,188,188
573,260,255,255
158,166,183,183
531,256,274,274
522,268,266,266
520,270,266,266
521,262,274,274
528,265,268,268
528,265,268,268
540,265,268,268
540,265,268,268
536,268,266,266
167,167,181,181
539,265,268,268
160,167,181,181
550,267,263,263
545,269,264,264
541,265,277,277
536,262,277,277
538,264,272,272
538,262,274,274
539,263,266,266
541,268,266,266
541,268,266,266
539,265,268,268
544,266,266,266
544,266,266,266
551,278,255,255
540,260,280,280
543,260,274,274
539,257,280,280
539,257,280,280
544,263,274,274
543,261,274,274
533,258,280,280
548,260,274,274
545,254,282,282
540,254,284,284
539,254,280,280
545,259,274,274
545,257,278,278
545,255,278,278
536,253,284,284
536,257,278,278
545,265,264,264
542,258,268,268
539,250,274,274
553,258,255,255
547,258,255,255
562,260,255,255
562,259,255,255
565,259,255,255
573,260,255,255
560,254,266,266
574,262,255,255
552,251,255,255
551,251,255,255
532,235,280,280
538,244,270,270
532,245,274,274
525,256,260,260
526,256,261,261
545,259,255,255
545,258,255,255
540,256,255,255
533,259,255,255
523,259,255,255
527,258,255,255
521,265,247,247
509,258,256,256
515,265,246,246
505,259,250,250
504,257,255,255
502,257,255,255
502,257,255,255
500,256,255,255
502,258,255,255
498,258,255,255
